Предназночение;Бренд;Название продукта;Ценовой сегмент;Возрастная категория;Ингредиенты;Тип состава;Комбинированная;Сухая кожа;Нормальная;Жирная;Чувствительная;Проблемная кожа;Универсальность;Оценка;Категория эффективности;Кластер;split
Очищение;CLINIQUE;Clarifying Lotion 1;Средний;18+;Вода, спирт денат. , Глицерин , Бутиленгликоль , Гамамелис виргинский (гамамелис ), Трегалоза , Салициловая кислота , Ацетил глюкозамин , Гиалуронат натрия , Гидроксид натрия , Тетрагидроксипропил этилендиамин , Динатрий Эдта , Феноксиэтанол , Бензофенон-4 , Желтый 5 (Ci 19140) , Синий 1 (Ци 42090);Химический;0;0;0;0;0;0;0;4,5;Низкая;Группа2;train
Очищение;PETER THOMAS ROTH;3% Glycolic Solutions Cleanser;Средний;18+;Вода, лауретсульфат натрия, пропиленгликоль, гликолевая кислота, кокамидопропилбетаин, лаурил глюкозид, аллантоин, пантенол, аргинин, ПЭГ-6 каприловые/каприновые глицериды, хлорид натрия, ПЭГ-150 пентаэритритилтетрастеарат, гидроксид натрия, сорбат калия, бензоат натрия, Феноксиэтанол.;Смешанный;1;1;1;1;1;1;1;4,4;Высокая;Группа3;test
Очищение;SHISEIDO;Ibuki Purifying Cleanser;Высокий;18+;Вода, стеариновая кислота, миристиновая кислота, ПЭГ-8, гидроксид калия, лауриновая кислота, глицерин, дипропиленгликоль, микрокристаллическая целлюлоза, диоксид кремния, денатурированный спирт, пчелиный воск, кокамидопропилбетаин, метилкокоил таурат натрия, ароматизатор, динатрий Эдта, трегалоза, ПЭГ-90м, лимонен, гексил. Корица, бутилфенилметилпропиональ, бетаин, бензоат натрия, бутил.;Химический;1;1;1;1;1;0;0,83;4,3;Средняя;Группа1;train
Очищение;SHISEIDO;Pureness Balancing Softener Alcohol-Free;Высокий;18+;Вода, дипропиленгликоль, бутиленгликоль, глицерин, экстракт древесины Eysenhardtia Polystachya (Palo Azul), ксилит, PPG-13 децилтетрадецет-24, цитрат натрия, гексаметафосфат натрия, лимонная кислота, диморфолинопиридазинон, хлорид магния, экстракт корня пиона, камнеломка. Экстракт сарментозы, экстракт розмарина, хлорид кальция, феноксиэтанол, метилпарабен, бензойная кислота, ароматизатор, желтый FD&C № 5, зеленый FD&C № 3.;Смешанный;0;0;0;0;0;0;0;4,4;Низкая;Группа2;train
Очищение;SK-II;Facial Treatment Cleansing Oil;Высокий;18+;Вода, лауроилглутамат натрия, пропиленгликоль, стеарат ПЭГ-150, фильтрат фермента Galactomyces (питера), натрия PCA, стеарат гликоля, бутиленгликоль, кокамид МЭА, фруктовое масло Rosa Canina, стеарамид AMP, пентиленгликоль, экстракт коры Salix Alba/экстракт коры Salix Alba (ивы), дикалий Глицирризат, гидроксифенилпропамидобензойная кислота, аскорбилпальмитат, BHT, фенэтиловый спирт, метилпарабен, пропилпарабен.;Смешанный;1;1;1;1;1;0;0,83;4,5;Высокая;Группа3;test
Очищение;MURAD;Pore Reform™ Skin Smoothing Polish;Высокий;18+;Вода, диоксид кремния, стеариновая кислота, эфиры жожоба, глицерилстеарат, стеариловый спирт, вода гамамелиса виргинского (гамамелис), цетеариловый спирт, кокамидопропилбетаин, бутиленгликоль, PPG-2 гидроксиэтилкокамид, мочевина, дрожжевые аминокислоты, трегалоза, инозитол, таурин, бетаин, корица. Экстракт коры зейланикума, саркозин, каприлоил глицин, гиалуронат натрия, масло семян бораго лекарственного, масло семян Helianthus Annuus (подсолнечника), экстракт Punica Granatum, лауроамфоацетат натрия, тридецетсульфат натрия, стеарат ПЭГ-100, глицерилстеарат, токоферилацетат, Цетеарет-20, ПЭГ-32, карбомер, динатрий ЭДТА, аминометилпропанол, феноксиэтанол, каприлилгликоль, хлорфенезин, ароматизатор (парфюм), красный 40 (CI 16035).;Смешанный;0;0;0;0;0;0;0;4,5;Низкая;Группа2;test
Очищение;DR. DENNIS GROSS SKINCARE;One Step Acne Eliminating Pads;Высокий;18+;Экстракт Achillea Millefolium, денатурированный спирт, аннато, аскорбиновая кислота, бентонит, бисаболол, бутиленгликоль, кофеин, экстракт листьев Camellia Sinensis, карнитин гидрохлорид, экстракт цветков Chamomilla recutita (Matricaria), лимонная кислота, медь PCA, циклодекстрин, диметилизосорбид, динатрия ЭДТА, Этоксидигликоль, фарнезол, ароматизаторы, глутаминовая кислота, глутатион, глицерин, гликолевая кислота, экстракт листьев гамамелиса виргинского (гамамелиса), молочная кислота, яблочная кислота, октоксинол-9, пантотеновая кислота, пентанатрия пентетат, фосфолипиды, фитиновая кислота, полисорбат 20, азелоил калия. Диглицинат, цитрат калия, глюконат калия, гидроксид калия, ретинол, изомерат сахарида, экстракт коры Salix Alba (ивы), бензоат натрия, изофлавоны сои, тетрапептид-21, экстракт Vitex Agnus Castus, вода, цинк PCA.;Натуральный;0;0;0;0;0;0;0;4,2;Низкая;Группа2;train
Очищение;ERBORIAN;Eau Ginseng;Средний;18+;Вода, метилглюцет-20, 1,2-гександиол, пропиленгликоль, экстракт корня солодки (солодки), экстракт корня диоскореи мохнатой (дикий ямс), экстракт корня женьшеня Panax, экстракт плодов кигелии африканской, экстракт хвоща гигантского, экстракт Zingiber Officinale (имбиря), гидрогенизированная касторка Peg-60. Масло, Бутиленгликоль, токоферилацетат, динатрий Эдта, парфюмерная отдушка, гексилциннамал, альфа-изометилионон.;Натуральный;0;0;0;0;0;0;0;4,5;Низкая;Группа2;test
Очищение;ERBORIAN;Solid Cleansing Oil;Средний;18+;Масло семян Helianthus Annuus (подсолнечное), Cocos Nucifera (кокосовое) масло, каприловый/каприновый триглицерид, гидрогенизированное растительное масло, мипа-лауретсульфат, лаурет-3, Cera Alba/пчелиный воск, масло Prunus Amygdalus Dulcis (сладкий миндаль), лаурет-7 цитрат, глицерилдибегенат, центелла Экстракт азиатики, Экстракт листьев камелии китайской, масло Butyrospermum Parkii (ши), экстракт корня Ophiopogon Japonicus, экстракт корня Polygonum Cuspidatum, экстракт корня шлемника байкальского, экстракт корня солодки (солодки), экстракт цветков Chamomilla Recutita (Matricaria), листьев Rosmarinus Officinalis (розмарина). Экстракт, гидрогенизированный цитрат пальмовых глицеридов, токоферол, три-бегенин, глицерил бегенат, токоферол, бутиленгликоль, вода/вода, отдушка/аромат, лимонен, линалоол, Ci 42090/Blue 1, Ci 19140/Yellow5.;Натуральный;1;1;1;1;1;0;0,83;4,4;Высокая;Группа3;test
Очищение;TARTE;FRXXXTION Stick Exfoliating Cleanser;Средний;18+;Вода, бутиленгликоль, стеарат натрия, диметилсилан бис-ПЭГ-18 метиловый эфир, глицерин, диатомовая земля, лауроилметилизетионат натрия, кокамидопропилбетаин, сепиолит кватерниум-90, порошок древесного угля, метилолеоилтаурат натрия, кокоилизетионат натрия, кватерниум-90. Монтмориллонит, каолин, феноксиэтанол, хлорфенезин, бензоат натрия.;Химический;1;1;1;1;1;0;0,83;4,6;Высокая;Группа3;test
Очищение;BOBBI BROWN;Instant Long-Wear Makeup Remover;Высокий;18+;Вода, изогексадекан, диметикон, циклопентасилоксан, трисилоксан, хлорид натрия, гексиленгликоль, дилаурат ПЭГ-4, лаурилметилглюцет-10 гидроксипропилдимоний хлорид, фосфат калия, дикалий фосфат, дикалий ЭДТА, феноксиэтанол;Химический;0;0;0;0;0;0;0;4,5;Низкая;Группа2;test
Очищение;FIRST AID BEAUTY;Skin Rescue Acne Clearing Charcoal Cleanser with Probiotics;Средний;18+;Вода, динатрий лауретсульфосукцинат, бентонит, кокамидопропилбетаин, кокоил изетионат натрия, глицерин, каолин, порошок древесного угля, экстракт партениума хризантемы, экстракт листьев камелии китайской, экстракт корня солодки голой, экстракт плодов ванили планифолии, экстракт йогурта, мел (мед, миэль), Каприлилгликоль, токоферилацетат, ксантановая камедь, хлорид натрия, кварц, лейконосток/фильтрат фермента корня редиса, тетранатрий ЭДТА, ЭДТА, феноксиэтанол.;Смешанный;1;1;1;1;1;1;1;3,9;Средняя;Группа1;train
Очищение;PETER THOMAS ROTH;Irish Moor Mud Purifying Cleanser Gel;Средний;18+;Вода, лауретсульфат натрия, глицерин, кокамидопропилбетаин, лаурилглюкозид, пропиленгликоль, торф, порошок древесного угля, экстракт саргасса веретенообразного, порошок лавы, салициловая кислота, молочная кислота, экстракт коры Salix Nigra (ивы), аллантоин, пантенол, BHT, гидроксид натрия, ксантановая камедь, Масло листьев Melaleuca Alternifolia (чайного дерева), слюда, бензоат натрия, сорбат калия, феноксиэтанол.;Смешанный;0;0;0;0;0;1;0,17;4,3;Низкая;Группа2;train
Очищение;ERBORIAN;Double Mousse Gentle Cleansing Foam;Средний;18+;Вода, глицерин, динатрий-кокоамфодиацетат, коко-бетаин, хлорид натрия, метил-кокоил-таурат натрия, экстракт плодов Vaccinium Myrtillus, экстракт коры Salix Alba (ивы), экстракт Acer Saccharum (сахарного клена), экстракт плодов Citrus Aurantium Dulcis (апельсин), экстракт плодов Citrus Limon (лимон), центелла азиатская Экстракт, экстракт Saccharum Officinarum (сахарного тростника), экстракт корня шлемника байкальского, экстракт корня Polygonum Cuspidatum, экстракт корня солодки (солодки), экстракт цветков Chamomilla Recutita (Matricaria), экстракт листьев Camellia Sinensis, экстракт листьев Rosmarinus Officinalis (розмарина), цитрат натрия, Пантенол, бутиленгликоль, этилгексилглицерин, поликватерниум-7, феноксиэтанол, ароматизатор, лимонен, линалоол, цитраль, Ci 19140/желтый 5, Ci 42090/синий 1.;Смешанный;0;0;0;0;0;1;0,17;4,5;Низкая;Группа2;train
Очищение;CLINIQUE;Fresh Pressed 7-day System with Pure Vitamin C;Средний;25+;Вода, аскорбиновая кислота, глицерин, диметикон, сквалан, бутиленгликоль, дипропиленгликоль, ацетил глюкозамин, экстракт плодов Cucumis Sativus (огурец), экстракт Hordeum Vulgare (ячмень)/экстракт D'Orge, экстракт корня Morus Nigra (шелковица), экстракт патоки/сахар. Officinarum/Extrait De Меласса , Экстракт Laminaria Digitata , Экстракт корня шлемника байкальского , Ацетил гексапептид-8 , Экстракт плодов Vitis Vinifera (Виноград) , Экстракт водорослей , Пальмитоил гексапептид-12 , Пальмитоил трипептид-1 , Пальмитоил тетрапептид-7 , Алкалигеновые полисахариды , Кофеин , Сахароза, сыворотка Белок/лактис Белок/протеин Du Petit-Lait, Бетаин, Салициловая кислота, Глицин Соевый белок (соевые бобы), Гиалуронат натрия, Каприлилгликоль, Экстракт Sigesbeckia Orientalis (Зверобой), Бис-Peg-18 Метиловый эфир, Диметилсилан, Дикапрат пропиленгликоля , Гелиантус Аннуус (Подсолнечник) Жмых, кроссполимер аллилметакрилатов, карбомер, глицерил полиметакрилат, трометамин, ксантановая камедь, сорбат калия, ПЭГ-8, полисорбат 20, цитрат натрия, динатрий Эдта, феноксиэтанол, Rds Название продукта: Свежий прессованный порошок. Подразделение очищающего средства: Cl. (Clinique) Мальтодекстрин, натрий Лаурилсульфоацетат , кокоилизетионат натрия , метилкокоилтаурат натрия , каолин , аскорбиновая кислота , хлорид натрия , экстракт кожуры Sapindus Mukurossi , салициловая кислота , кроссполимер аллилметакрилатов , циклодекстрин , кокосовая кислота , этилбизиминометилгваякол марганца Хлорид , Вода , Динатрий Эдта;Смешанный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;test
Очищение;PERRICONE MD;PRE:EMPT SERIES™ Exfoliating Pore Refiner;Высокий;18+;Вода, полисорбат 20, экстракт плодов Vaccinium Myrtillus, бетаин салицилат, триэтилцитрат, диметил МЭА, экстракт плодов Citrus Aurantium Dulcis (апельсин), экстракт плодов цитрусового лимона (лимон), экстракт Acer Saccharum (сахарный клен), экстракт листьев Olea Europaea (олива), эпигаллокатехин галлатил глюкозид, Тетрагидродиферулоилметан, экстракт Saccharum Officinarum (сахарного тростника), тетрагидродемеметоксидиферулоилметан, экстракт ростков Lepidium sativum, тетрагидробисдемеметоксидиферулоилметан, токоферол, лецитин, ксантановая камедь, динатрий ЭДТА, глицерин, бензиловый спирт, Сорбат калия, феноксиэтанол, ароматизатор/парфюм, амилциннамал, гидроксицитронеллаль, линалоол.;Смешанный;1;1;1;1;1;0;0,83;4,5;Высокая;Группа3;test
Очищение;GLAMGLOW;POWERMUD™ Dualcleanse Treatment;Высокий;18+;Вода, бентонит, глицерин, гамамелис виргинский (гамамелис), вода, алюмосиликат магния, карбонат кальция, сквалан, каолин, экстракт плодов Pyrus Malus (яблоко), ксантановая камедь, метилглюцет-20, ниацинамид, монтмориллонит, экстракт Verbascum Thapsus (коровяка), Oryza Sativa (рис). Порошок, экстракт листьев Verbascum Thapsus, пантенол, каприлилгликоль, экстракт планктона, масло семян Opuntia Ficus-Indica, экстракт Lavandula Angustifolia (лаванды), аллантоин, мочевина, дрожжевые аминокислоты, бетаин, экстракт цветков Chamomilla Recutita (Matricaria), инозитол, масло листьев Pinus Sylvestris (сосны), Трегалоза, экстракт кожуры Sapindus Mukurossi, дикалия глицирризат, аскорбил глюкозид, токоферил ацетат, масло мирры (мирры), таурин, пентиленгликоль, лейконосток/фильтрат фермента корня редиса, бутиленгликоль, масло Boswellia Carterii, ароматизатор, Альфа-изометилионон, лимонен, динатрий Эдта, гидроксифенилпропамидобензойная кислота, сорбат калия, феноксиэтанол, хлорфенезин, диоксид титана (Ci 77891);Смешанный;1;1;1;1;0;1;0,83;3,9;Средняя;Группа1;test
Очищение;FIRST AID BEAUTY;Facial Radiance Polish;Средний;25+;Вода, кокоилизетионат натрия, бегениловый спирт, лаурилсульфоацетат натрия, хлорид натрия, пропандиол, кокамидопропилгидроксисултаин, полиглицерил-3-диизостеарат, глицерилстеарат SE, порошок скорлупы орехов Butyrospermum Parkii, сульфат натрия, бутиленгликоль, C12-15 алкиллактат, Глицерин, коллоидная овсянка, масло Butyrospermum Parkii, масло семян Vitis Vinifera, гидроксид натрия, Copernicia Cerifera Cera, этилгексилглицерин, гидроксиэтилцеллюлоза, пантенол, экстракт коры Salix Nigra, экстракт Symphytum Officinale, гидроксипропилгуар, карбомер, лимонная кислота. Кислота, фитат натрия, сок листьев алоэ барбаденсис, масло кожуры Citrus Aurantium Amara, церамид 3, экстракт хризантемы партениум, экстракт плодов Rubus Idaeus, экстракт корня солодки голой, экстракт листьев камелии китайской, молочная кислота, ацетат натрия, целлюлоза, феноксиэтанол, хлорфенезин, натрий. Бензоат, лимонен, CI 77891.;Смешанный;1;1;1;1;1;1;1;4,2;Высокая;Группа3;train
Очищение;LA MER;The Cleansing Micellar Water;Высокий;18+;Декластеризованная вода (-)/аква/деструктурированная вода (-), декластеризованная вода (+)/аква/деструктурированная вода (+), пропандиол, полисорбат 20, диметикон бис-ПЭГ-12, трегалоза, экстракт морских водорослей, масло семян Sesamum Indicum (кунжут), семена Medicago Sativa (люцерна) Порошок, Гелиантус Жмых Annuus (подсолнечник), мука из семян Prunus Amygdalus Dulcis (сладкий миндаль), масло листьев эвкалипта шаровидного (эвкалипта), глюконат натрия, глюконат меди, глюконат кальция, глюконат магния, глюконат цинка, токоферилсукцинат, ниацин, порошок семян кунжута (кунжута), море Соль/Марис Sal/Sel Marin, экстракт семян Castanea Sativa (каштан), экстракт Macrocystis Pyrifera (ламинария), экстракт Laminaria Digitata, сахароза, кофеин, глицерин, этилгексилглицерин, гиалуронат натрия, бутиленгликоль, лимонная кислота, гидроксид натрия, ароматизатор, динатрий эдта-медь, Феноксиэтанол, бензилбензоат, кумарин, цитронеллол, линалоол, лимонен, синий 1 (Ci 42090);Смешанный;0;0;0;0;0;0;0;4,5;Низкая;Группа2;test
Очищение;MURAD;Hydro-Dynamic® Quenching Essence;Высокий;18+;Глицерин, гликолевая кислота, дрожжевой экстракт, феноксиэтанол, этилгексилглицерин глицерин, экстракт плодов Citrullus Lanatus (арбуз), экстракт плодов Pyrus Malus (яблоко), экстракт плодов Lens Esculenta (чечевица), натрий PCA, лактат натрия мочевина, дрожжевые аминокислоты, трегалоза, инозитол, таурин, бетаин Токоферилацетат, аскорбиновая кислота, хитозан, глюконат цинка. Глицерин, гликолевая кислота, дрожжевой экстракт, феноксиэтанол, этилгексилглицерин глицерин, экстракт плодов Citrullus Lanatus (арбуз), экстракт плодов Pyrus Malus (яблоко), экстракт плодов Lens Esculenta (чечевица), натрий PCA, лактат натрия мочевина, дрожжевые аминокислоты, трегалоза, инозитол, таурин, бетаин Токоферилацетат, аскорбиновая кислота, хитозан, глюконат цинка.;Смешанный;1;1;1;1;1;1;1;4,3;Высокая;Группа3;train
Очищение;KIEHL'S SINCE 1851;Ultra Facial Oil-Free Cleanser;Средний;18+;Вода, глицерин, миристиновая кислота, пальмитиновая кислота, стеариновая кислота, гидроксид калия, лауриновая кислота, глицерилдистеарат, глицерилстеарат, каолин, экстракт корня императы цилиндрической, тетранатрий Эдта, экстракт плодов лимона, Peg-14m, экстракт фермента Pseudoalteromonas, метилизотиазолинон, каприлил. Гликоль, карбомер, акрилаты/C10-30 алкилакрилатный кроссполимер.;Натуральный;1;0;1;1;0;0;0,5;4,2;Средняя;Группа1;train
Очищение;LANEIGE;Fresh Calming Toner;Средний;18+;Вода, пропандиол, 1,2-гександиол, Ppg-13-децилтетрадецет-24, бутиленгликоль, морская вода, марис аква, вода де мер, этилгексилглицерин, динатрий Эдта, экстракт околоплодника китайского личи, токоферол.;Натуральный;1;1;1;1;0;0;0,67;4,4;Средняя;Группа3;train
Очищение;KIEHL'S SINCE 1851;Cucumber Herbal Conditioning Cleanser;Средний;18+;Вода, пропиленгликоль, глицерин, метилкокоилтаурат натрия, коко-бетаин, кокоилизетионат натрия, хлорид натрия, акрилаты/C10-30 алкилакрилатный кроссполимер, феноксиэтанол, стеарат Peg-100, Ppg-5-Ceteth-20, глицерилстеарат, кокосовая кислота, каприлил. гликоль, олеат пропиленгликоля Peg-55, сополимер стирола и акрилатов, салициловая кислота, хлорфенезин, гидрогенизированная кокосовая кислота, экстракт плодов огурца, поликватерниум-53, коко-глюкозид, динатриевая соль Эдта, масло лаванды гибридной, изетионат натрия, диполигидроксистеарат Peg-30, Тридецет-6, масло кожуры Citrus Medica Limonum (лимон), масло листьев розмарина, бензойная кислота, лимонная кислота, гидроксид натрия.;Смешанный;0;1;1;0;1;1;0,67;4,6;Средняя;Группа3;test
Очищение;SHISEIDO;Extra Rich Cleansing Milk;Высокий;18+;Вода, метилкокоилтаурат натрия, кокамидопропилбетаин, лаурат ПЭГ-2, дистеарат гликоля, лаурат пропиленгликоля, глицерин, дипропиленгликоль, поликватерниум-10, феноксиэтанол, бензоат натрия, ароматизаторы, лимонная кислота, вода, масло зародышей Oryza Sativa (рис), динатрий Эдта, линалоол, Гераниол, цитронеллол, спирт, бетаин, желтый 6 (Ci 15985), ацетилированный гиалуронат натрия, экстракт семян цитрусовых Junos, токоферол, красный 33 (Ci 17200), гидролизованный шелк.;Смешанный;0;1;0;0;0;0;0,17;5;Средняя;Группа2;train
Очищение;DR. JART+;Dermaclear™ Trans-Foam Clay Trio;Средний;18+;Вода, диоксид титана, монтмориллонит, лаурилсульфат натрия, глицерин, пальмитиновая кислота, стеариновая кислота, бентонит, каолин, бетаин, метилкокоилтаурат натрия, гидроксид калия, бутиленгликоль, феноксиэтанол, ксантановая камедь, хлорфенезин, этилментанкарбоксамид, Этилгексилглицерин, целлюлозная камедь, тетранатрий пирофосфат, каприлилгликоль, ментол, лауриновая кислота, миристиновая кислота, арахиновая кислота, динатриевая соль ЭДТА, масло кожуры Citrus Aurantium Dulcis (апельсин), масло лаванды узколистной (лаванды), цветочное масло пеларгонии Graveolens, масло коры Amyris Balsamifera, Масло листьев эвкалипта шаровидного, масло кожуры Citrus Paradisi (грейпфрут), масло листьев Melaleuca Alternifolia (чайное дерево), фруктовое масло Citrus Aurantium Bergamia (бергамот), масло Boswellia Carterii, масло можжевельника мексиканского, экстракт Cymbopogon Schoenanthus, дипропиленгликоль, децилглюкозид, натрий. Пальмитоил пролин, экстракт цветков нимфеи белой.;Смешанный;0;0;0;0;0;1;0,17;4,4;Низкая;Группа2;train
Очищение;ESTEE LAUDER;Perfectly Clean Multi-Action Toning Lotion/Refiner;Высокий;18+;Perfectly Clean Mlt-Act Tng Ltn/Rf Подразделение: El (Estee Lauder) Состав: вода, денат спирта. , Глицерин , Бутиленгликоль , Экстракт Hypnea Musciformis (водорослей) , Экстракт Gellidiela Acerosa (водорослей) , Hamamelis Virginiana (гамамелис) , Экстракт Silybum Marianum (чертополоха) , Экстракт Bambusa Vulgaris (Бамбук) , Экстракт Pisum Sativum (Горох) , Горечавка желтая (Горечавка) Экстракт корня, Экстракт водорослей, Экстракт отрубей Oryza Sativa (риса), Дрожжевой экстракт/Faex/Extrait De Levure, Сахароза, Трегалоза, Лактобионовая кислота, Гидрогенизированное касторовое масло Peg-40, Сорбитол, Кофеин, Дикалий глицирризат, Биосахаридная камедь-1, Ppg-26-Бутет-26 , Гиалуронат натрия , Цинк Pca, пентиленгликоль, Ppg-5-Ceteth-20, гидроксид натрия, глюкозамина гидрохлорид, ароматизатор, фитиновая кислота, сорбат калия, динатрий Эдта, феноксиэтанол;Смешанный;0;0;0;0;0;0;0;4,5;Низкая;Группа2;train
Очищение;CLINIQUE;Clarifying Lotion 4;Средний;18+;Вода, спирт денат. , Салициловая кислота , Гамамелис виргинский (гамамелис) , Бутиленгликоль , Глицерин , Трегалоза , Гиалуронат натрия , Гидроксид натрия , Динатрий Эдта-медь , Bht , Феноксиэтанол , Бензофенон-4 , Зеленый 5 (Ci 61570);Химический;0;0;0;0;0;0;0;4,4;Низкая;Группа2;test
Очищение;CLINIQUE;Naturally Gentle Eye Makeup Remover;Средний;25+;Вода , гидрогенизированный полиизобутен , бутиленгликоль , масло семян Sesamum Indicum (кунжут ), акрилоилдиметилтаурат аммония / сополимер Vp , сахароза , экстракт Hypnea Musciformis (водорослей) , экстракт Gellidiela Acerosa (водорослей) , аргинин , акрилаты/C10-30 алкилакрилатный кроссполимер , ПЭГ-8 дилаурат, хлорид натрия, динатрийфосфат, динатрий Эдта, феноксиэтанол, хлорфенезин;Смешанный;0;0;0;0;0;0;0;4,4;Низкая;Группа2;test
Очищение;SUNDAY RILEY;C.E.O. C + E Micro-Dissolve Cleansing Oil;Высокий;18+;Изоамиллаурат, сорбитанолеат, изостеарилизостеарат, триэтилгексаноин, ПЭГ-10 лаурат, каприловый/каприновый триглицерид, вода (вода), децилглюкозид, пропандиол, полиглицерил-2 капрат, сквалан, метилпропандиол, масло кожуры цитрусовых ретикулата (мандарин), фитат натрия, C30 Углеводороды, феноксиэтанол, токоферол, экстракт плодов Microcitrus Australasica (лаймовый жемчуг), экстракт коры Salix Alba (ивы), экстракт корня Curcuma Longa (куркума), экстракт масла Butyrospermum Parkii (ши), денат. спирта, экстракт плодов Rosa Canina (шиповник), экстракт Citrus Tangerina (мандарин), энотера Экстракт семян Biennis (примулы вечерней), экстракт настурции лекарственной (кресс-салат), экстракт листьев камелии китайской (белого чая), тетрагексилдецил аскорбат, каприлилгликоль.;Смешанный;1;1;1;1;1;0;0,83;4,3;Средняя;Группа1;test
Очищение;CLINIQUE;City Block Purifying Charcoal Clay Mask + Scrub;Средний;18+;Вода, каолин, бутиленгликоль, диоксид кремния, алюмосиликат магния, порошок древесного угля, глицерилстеарат, стеарат ПЭГ-100, метилкокоилтаурат натрия, экстракт корня горечавки (горечавки), экстракт ламинарии сахарной, токоферилацетат, ацетил глюкозамин, сахароза, каприлилгликоль, Ксантановая камедь, динатрий Эдта, феноксиэтанол, хлорфенезин, оксиды железа (Ci 77499), диоксид титана (Ci 77891);Смешанный;1;1;1;1;1;0;0,83;4,7;Высокая;Группа3;test
Очищение;CLINIQUE;Fresh Pressed Renewing Powder Cleanser with Pure Vitamin C;Средний;25+;Мальтодекстрин , Лаурилсульфоацетат натрия , Кокоилизетионат натрия , Метилкокоилтаурат натрия , Каолин , Аскорбиновая кислота , Хлорид натрия , Экстракт кожуры Sapindus Mukurossi , Салициловая кислота , Кроссполимер аллилметакрилатов , Циклодекстрин , Кокосовая кислота , Этилбизиминометилгваякол марганца Хлорид , Вода , Динатрий Эдта;Натуральный;1;1;1;1;1;1;1;4,9;Высокая;Группа3;train
Очищение;MURAD;Refreshing Cleanser;Высокий;18+;Вода, лауретсульфат натрия, динатрий лауретсульфосукцинат, динатрий кокоамфодиацетат, дистеарат гликоля, бутиленгликоль, экстракт водорослей, экстракт корня Hedychium Coronarium, экстракт листьев гамамелиса, экстракт плодов актинидии китайской (киви), экстракт плодов огурца, гликолевая кислота, PCA натрия, дистеарат ПЭГ-8, Поликватерниум-4, феноксиэтанол, метилпарабен, пропилпарабен, лимонен, гидроксиизогексил-3-циклогексенкарбоксальдегид, ароматизатор.;Смешанный;0;0;0;0;0;0;0;4,4;Низкая;Группа2;test
Очищение;KIEHL'S SINCE 1851;Blue Herbal Acne Cleanser Treatment;Средний;18+;Вода, кокоглюкозид, пропиленгликоль, полиакрилоилдиметилтаурат аммония, глицерин, коко-бетаин, кокоилизетионат натрия, метилкокоилтаурат натрия, дипропиленгликоль, хлорид натрия, бутиленгликоль, феноксиэтанол, гидрогенизированная кокосовая кислота, каприлоилсалициловая кислота, Кокосовая кислота, Т-бутиловый спирт, натрий PCA, камфора, ментол, экстракт босвеллии пильчатой, изетионат натрия, вода гамамелиса виргинского (гамамелиса), экстракт листьев Peumus Boldus, динатрий Эдта, спирт, экстракт корня Zingiber Officinale (имбирь), экстракт корня Sanguisorba Officinalis, экстракт коры Cinnamomum Cassia, ксантан Камедь, экстракт ламинарии сахарной, сульфат цинка, пиридоксин гидрохлорид, гидроксид натрия, лимонная кислота.;Смешанный;1;0;0;1;0;1;0,5;3,5;Низкая;Группа1;train
Очищение;KIEHL'S SINCE 1851;Herbal-Infused Micellar Cleansing Water;Средний;18+;Вода, глицерин, пропандиол, вода из цветов/листьев/стеблей мелиссы лекарственной, аргинин, салициловая кислота, коко-бетаин, каприлил/каприл глюкозид, динатрий-кокоилглутамат, ксантановая камедь, фитиновая кислота, экстракт Buddleja Davidii, экстракт тимьяна обыкновенного/экстракт тимьяна, хлорид натрия, кокоилглутамат натрия, Лимонная кислота, масло цветков/листьев тимьяна обыкновенного, масло цветков/листьев тимьяна.;Натуральный;1;1;1;1;1;1;1;3,7;Средняя;Группа1;test
Очищение;CLINIQUE;Facial Soap with Dish;Средний;18+;Пальмат натрия/кокоат или пальмовый кернелат, вода, вазелин, глицерин, хлорид натрия, тринатрий гедта, диоксид титана (Ci 77891), оксиды железа (Ci 77491, Ci 77492, Ci 77499), желтый 5 (Ci 19140);Неопределён;0;0;0;0;0;0;0;4,4;Низкая;Группа2;test
Уход;SUNDAY RILEY;Good Genes All-In-One Lactic Acid Treatment;Высокий;18+;Экстракт плодов опунции тунца (опунция), экстракт листьев агавы текилана (голубая агава), экстракт Cypripedium Pubescens (орхидея дамских башмачков), экстракт Opuntia vulgaris (кактус), экстракт листьев алоэ барбаденсиса и экстракт Saccharomyses Cerevisiae (дрожжи), молочная кислота, каприловый/каприновый триглицерид, бутиленгликоль, Сквалан, циклометикон, диметикон, сополимер Ppg-12/Smdi, стеариновая кислота, цетеариловый спирт и цетеарет20, глицерилстеарат и стеарат Peg-100, экстракт арники горной (цветков), масло пены лугового Peg-75, экстракт корня солодки голой (солодки), цимбопогон Масло шенантуса (лемонграсса), триэтаноламин, ксантановая камедь, феноксиэтанол, стеарет-20, Dmdm гидантоин.;Смешанный;1;1;1;1;0;0;0,67;4,3;Средняя;Группа1;test
